player,team,stage
Tom (9a0),AUT,R32
Tom (9a0),BEL,R32
Tom (9a0),BEL,R16
Tom (9a0),BEL,quarter
Tom (9a0),BRA,R32
Tom (9a0),CAN,R32
Tom (9a0),CAN,R16
Tom (9a0),COL,R32
Tom (9a0),CRO,R32
Tom (9a0),CRO,R16
Tom (9a0),ECU,R32
Tom (9a0),EGY,R32
Tom (9a0),ENG,R32
Tom (9a0),ENG,R16
Tom (9a0),ENG,quarter
Tom (9a0),ENG,semi
Tom (9a0),FRA,R32
Tom (9a0),FRA,R16
Tom (9a0),FRA,quarter
Tom (9a0),GER,R32
Tom (9a0),GER,R16
Tom (9a0),CIV,R32
Tom (9a0),JPN,R32
Tom (9a0),JPN,R16
Tom (9a0),JPN,quarter
Tom (9a0),MEX,R32
Tom (9a0),MAR,R32
Tom (9a0),NED,R32
Tom (9a0),NED,R16
Tom (9a0),NED,quarter
Tom (9a0),NED,semi
Tom (9a0),NED,final
Tom (9a0),NED,winner
Tom (9a0),NOR,R32
Tom (9a0),POR,R32
Tom (9a0),POR,R16
Tom (9a0),POR,quarter
Tom (9a0),POR,semi
Tom (9a0),POR,final
Tom (9a0),SEN,R32
Tom (9a0),SEN,R16
Tom (9a0),ESP,R32
Tom (9a0),ESP,R16
Tom (9a0),ESP,quarter
Tom (9a0),ESP,semi
Tom (9a0),ESP,third
Tom (9a0),SWE,R32
Tom (9a0),SUI,R32
Tom (9a0),SUI,R16
Tom (9a0),USA,R32
Martin L,ARG,R32
Martin L,ARG,R16
Martin L,ARG,quarter
Martin L,ARG,semi
Martin L,ARG,final
Martin L,AUS,R32
Martin L,AUS,R16
Martin L,AUT,R32
Martin L,BEL,R32
Martin L,BEL,R16
Martin L,BIH,R32
Martin L,BRA,R32
Martin L,BRA,R16
Martin L,BRA,quarter
Martin L,CAN,R32
Martin L,COL,R32
Martin L,CRO,R32
Martin L,CRO,R16
Martin L,ECU,R32
Martin L,EGY,R32
Martin L,ENG,R32
Martin L,ENG,R16
Martin L,ENG,quarter
Martin L,ENG,semi
Martin L,ENG,third
Martin L,FRA,R32
Martin L,FRA,R16
Martin L,FRA,quarter
Martin L,FRA,semi
Martin L,FRA,final
Martin L,FRA,winner
Martin L,GER,R32
Martin L,GER,R16
Martin L,CIV,R32
Martin L,CIV,R16
Martin L,JPN,R32
Martin L,MEX,R32
Martin L,MAR,R32
Martin L,NED,R32
Martin L,NED,R16
Martin L,NOR,R32
Martin L,NOR,R16
Martin L,POR,R32
Martin L,POR,R16
Martin L,POR,quarter
Martin L,SEN,R32
Martin L,ESP,R32
Martin L,ESP,R16
Martin L,ESP,quarter
Martin L,ESP,semi
Martin L,SUI,R32
Martin L,SUI,R16
Martin L,USA,R32
Martin L,USA,R16
Martin L,USA,quarter
Claude (AI),ARG,R32
Claude (AI),ARG,R16
Claude (AI),ARG,quarter
Claude (AI),ARG,semi
Claude (AI),ARG,final
Claude (AI),AUT,R32
Claude (AI),BEL,R32
Claude (AI),BEL,R16
Claude (AI),BEL,quarter
Claude (AI),BRA,R32
Claude (AI),BRA,R16
Claude (AI),BRA,quarter
Claude (AI),CAN,R32
Claude (AI),CAN,R16
Claude (AI),COL,R32
Claude (AI),CRO,R32
Claude (AI),CRO,R16
Claude (AI),ECU,R32
Claude (AI),ENG,R32
Claude (AI),ENG,R16
Claude (AI),ENG,quarter
Claude (AI),FRA,R32
Claude (AI),FRA,R16
Claude (AI),FRA,quarter
Claude (AI),FRA,semi
Claude (AI),FRA,final
Claude (AI),FRA,winner
Claude (AI),GER,R32
Claude (AI),GER,R16
Claude (AI),GHA,R32
Claude (AI),CIV,R32
Claude (AI),JPN,R32
Claude (AI),MEX,R32
Claude (AI),MEX,R16
Claude (AI),MAR,R32
Claude (AI),NED,R32
Claude (AI),NED,R16
Claude (AI),NED,quarter
Claude (AI),NED,semi
Claude (AI),NOR,R32
Claude (AI),NOR,R16
Claude (AI),PAR,R32
Claude (AI),POR,R32
Claude (AI),POR,R16
Claude (AI),POR,quarter
Claude (AI),SEN,R32
Claude (AI),ESP,R32
Claude (AI),ESP,R16
Claude (AI),ESP,quarter
Claude (AI),ESP,semi
Claude (AI),ESP,third
Claude (AI),SWE,R32
Claude (AI),SUI,R32
Claude (AI),SUI,R16
Claude (AI),USA,R32
Claude (AI),USA,R16
Sherram,ARG,R32
Sherram,ARG,R16
Sherram,AUS,R32
Sherram,AUS,R16
Sherram,AUS,quarter
Sherram,AUS,semi
Sherram,AUT,R32
Sherram,BEL,R32
Sherram,BRA,R32
Sherram,BRA,R16
Sherram,BRA,quarter
Sherram,BRA,semi
Sherram,BRA,final
Sherram,CAN,R32
Sherram,COL,R32
Sherram,COL,R16
Sherram,COL,quarter
Sherram,CRO,R32
Sherram,ECU,R32
Sherram,ENG,R32
Sherram,ENG,R16
Sherram,ENG,quarter
Sherram,FRA,R32
Sherram,FRA,R16
Sherram,FRA,quarter
Sherram,FRA,semi
Sherram,FRA,final
Sherram,FRA,winner
Sherram,GER,R32
Sherram,GER,R16
Sherram,GHA,R32
Sherram,JPN,R32
Sherram,JPN,R16
Sherram,JPN,quarter
Sherram,MEX,R32
Sherram,MEX,R16
Sherram,MAR,R32
Sherram,NED,R32
Sherram,NOR,R32
Sherram,NOR,R16
Sherram,PAR,R32
Sherram,PAR,R16
Sherram,PAR,quarter
Sherram,POR,R32
Sherram,POR,R16
Sherram,ESP,R32
Sherram,ESP,R16
Sherram,ESP,quarter
Sherram,ESP,semi
Sherram,ESP,third
Sherram,SWE,R32
Sherram,SUI,R32
Sherram,SUI,R16
Tom (c66),ARG,R32
Tom (c66),ARG,R16
Tom (c66),ARG,quarter
Tom (c66),AUS,R32
Tom (c66),AUS,R16
Tom (c66),AUT,R32
Tom (c66),BEL,R32
Tom (c66),BEL,R16
Tom (c66),BEL,quarter
Tom (c66),BRA,R32
Tom (c66),BRA,R16
Tom (c66),BRA,quarter
Tom (c66),BRA,semi
Tom (c66),CAN,R32
Tom (c66),COL,R32
Tom (c66),CRO,R32
Tom (c66),CRO,R16
Tom (c66),ECU,R32
Tom (c66),EGY,R32
Tom (c66),EGY,R16
Tom (c66),ENG,R32
Tom (c66),ENG,R16
